time,latitude,longitude,chl
2023-04-01,21.75,91.0,4.439266
2023-04-01,20.75,87.75,0.26405662
2023-04-01,21.75,90.25,1.6012447
2023-04-01,21.75,90.75,4.1617756
2023-04-01,20.5,88.0,0.24119872
2023-04-01,22.0,90.5,3.7020473
2023-04-01,21.25,87.75,0.48674598
2023-04-01,20.0,90.25,0.12877317
2023-04-01,20.75,89.25,0.19687325
2023-04-01,20.25,87.75,0.2207511
2023-04-01,20.25,90.25,0.12717701
2023-04-01,21.5,87.5,0.57253975
2023-04-01,20.25,88.0,0.21459003
2023-04-01,21.5,89.75,0.3921387
2023-04-01,20.5,89.25,0.19976613
2023-04-01,20.5,89.0,0.20692834
2023-04-01,20.0,89.75,0.19246364
2023-04-01,20.0,88.5,0.19406451
2023-04-01,21.0,90.75,0.31007895
2023-04-01,20.75,87.25,0.53510326
2023-04-01,20.75,90.25,0.16580369
2023-04-01,20.0,87.75,0.20284711
2023-04-01,20.75,89.75,0.16898316
2023-04-01,21.5,89.0,0.81109965
2023-04-01,22.5,90.75,3.5352135
2023-05-01,20.5,89.25,0.15218267
2023-05-01,21.0,88.75,0.24752216
2023-05-01,21.5,89.5,0.4118121
2023-05-01,20.25,88.5,0.16744243
2023-05-01,21.0,87.0,0.8551256
2023-05-01,20.5,89.5,0.1520251
2023-05-01,21.5,88.75,0.61318105
2023-05-01,21.0,88.0,0.3526695
2023-05-01,20.25,87.5,0.2220668
2023-05-01,21.5,88.25,0.55981916
2023-05-01,20.5,89.0,0.15541732
2023-05-01,21.0,89.5,0.20395942
2023-05-01,20.5,88.75,0.16186544
2023-05-01,21.25,87.5,0.5476044
2023-05-01,21.25,88.0,0.47287324
2023-05-01,21.5,88.0,0.5659414
2023-05-01,20.0,89.5,0.15557483
2023-05-01,21.0,90.25,0.50782996
2023-05-01,21.5,89.0,0.48729837
2023-05-01,20.25,87.0,0.4889113
2023-05-01,20.25,88.75,0.1638358
2023-05-01,22.0,90.5,6.460924
2023-05-01,21.5,89.75,0.61226237
2023-05-01,20.25,87.75,0.21131796
2023-05-01,20.25,87.25,0.31782764
2023-05-01,21.25,87.25,0.5871418
2023-05-01,21.0,90.0,0.32339483
2023-05-01,21.0,88.5,0.27147406
2023-05-01,22.0,90.75,8.483607
2023-05-01,21.25,87.75,0.49333793
2023-05-01,20.0,88.5,0.16346179
2023-05-01,20.0,89.25,0.15498137
2023-05-01,21.0,87.5,0.42621076
2023-05-01,20.0,88.75,0.16381805
2023-05-01,20.25,88.25,0.17185266
2023-05-01,21.0,90.75,0.32354552
2023-05-01,21.0,89.75,0.20487288
2023-05-01,21.25,87.0,0.6525665
2023-05-01,20.0,89.0,0.1611868
2023-05-01,20.5,87.5,0.2816431
2023-05-01,21.5,89.25,0.43130288
2023-05-01,21.5,90.0,1.2551224
2023-05-01,21.0,87.25,0.5126456
2023-05-01,21.0,91.0,0.36083642
2023-05-01,21.0,90.5,0.34656295
2023-05-01,21.0,89.25,0.2182438
2023-05-01,21.5,88.5,0.6084777
2023-05-01,22.5,91.0,5.322551
2023-05-01,21.5,90.25,3.8612208
2023-05-01,21.0,87.75,0.37701884
2023-05-01,21.0,88.25,0.29739383
2023-05-01,21.0,89.0,0.22780162
2023-05-01,20.5,88.5,0.16912892
2023-05-01,20.25,88.0,0.17964672
2023-05-01,20.5,87.25,0.48419553
2023-05-01,20.75,90.5,0.15364094
2023-05-01,20.75,88.75,0.18732022
2023-05-01,20.0,88.25,0.16632663
2023-05-01,21.75,88.0,0.57580936
2023-05-01,21.5,87.5,0.6265469
2023-05-01,21.5,87.25,0.71773404
2023-05-01,21.75,90.5,6.8876843
2023-05-01,20.0,87.0,0.27957952
2023-05-01,20.75,87.25,0.57288164
2023-05-01,20.25,89.25,0.14747491
2023-05-01,22.25,90.75,10.071016
2023-05-01,20.75,89.0,0.17581874
2023-05-01,20.0,90.0,0.15761888
2023-05-01,20.5,90.0,0.15848415
2023-05-01,20.0,90.25,0.1520666
2023-05-01,20.25,90.0,0.1521844
2023-05-01,21.25,88.5,0.44486713
2023-05-01,20.5,87.75,0.22977544
2023-05-01,21.75,89.5,0.8780667
2023-05-01,20.0,90.5,0.14816326
2023-05-01,20.5,90.75,0.15198766
2023-05-01,20.5,90.5,0.14479569
2023-05-01,21.5,90.75,7.2855973
2023-05-01,20.75,90.75,0.17730388
2023-05-01,21.25,89.25,0.3063612
2023-05-01,21.75,90.25,4.792102
2023-05-01,20.5,91.0,0.1672628
2023-05-01,22.25,91.0,9.9665
2023-05-01,20.75,87.0,0.8973838
2023-05-01,20.25,90.75,0.15003206
2023-05-01,20.5,88.25,0.17820953
2023-05-01,20.75,89.75,0.16310124
2023-05-01,21.75,91.0,7.863948
2023-05-01,21.75,87.75,0.74140185
2023-05-01,20.75,89.5,0.15822656
2023-05-01,20.25,89.5,0.14759599
2023-05-01,21.25,88.75,0.36703765
2023-05-01,21.25,90.75,1.532078
2023-05-01,21.25,89.0,0.28564185
2023-05-01,20.75,90.0,0.15910892
2023-05-01,20.5,87.0,0.7283866
2023-05-01,20.5,90.25,0.14643545
2023-05-01,20.0,88.0,0.17563267
2023-05-01,20.0,90.75,0.14949973
2023-05-01,20.0,89.75,0.15725738
2023-05-01,21.5,91.0,7.1480284
2023-05-01,20.75,89.25,0.16397218
2023-05-01,20.25,89.75,0.16874735
2023-05-01,20.5,89.75,0.15682544
2023-05-01,21.25,90.25,2.4909697
2023-05-01,20.75,90.25,0.1532777
2023-05-01,20.75,88.5,0.19884905
2023-05-01,21.25,89.5,0.34810242
2023-05-01,20.25,91.0,0.15839727
2023-05-01,21.25,89.75,0.47413036
2023-05-01,22.0,91.0,9.078762
2023-05-01,20.75,88.0,0.20318282
2023-05-01,21.25,91.0,1.7200456
2023-05-01,20.0,87.25,0.19719154
2023-05-01,20.25,89.0,0.15646857
2023-05-01,20.5,88.0,0.19596902
2023-05-01,22.5,90.75,5.0061245
2023-05-01,21.75,90.75,7.6103363
2023-05-01,21.75,90.0,1.321917
2023-05-01,21.5,90.5,7.036505
2023-05-01,20.75,87.5,0.33725408
2023-05-01,20.0,87.75,0.18695599
2023-05-01,20.75,88.25,0.19799583
2023-05-01,20.25,90.25,0.14635298
2023-05-01,20.25,90.5,0.14563178
2023-05-01,20.0,87.5,0.18785182
2023-05-01,20.75,87.75,0.2444731
2023-05-01,21.5,87.75,0.59464043
2023-05-01,21.25,88.25,0.45861945
2023-05-01,20.0,91.0,0.15230227
2023-05-01,21.75,89.75,1.0494597
2023-05-01,21.25,90.5,1.7740755
2023-05-01,21.25,90.0,1.890695
2023-05-01,20.75,91.0,0.19819134
2023-06-01,20.0,89.75,0.10089322
2023-06-01,20.75,89.25,0.18867797
2023-06-01,21.25,89.75,2.6013017
2023-06-01,21.5,89.25,1.529377
2023-06-01,20.75,88.0,0.2357743
2023-06-01,20.25,89.75,0.101087354
2023-06-01,21.5,89.75,3.0207505
2023-06-01,20.25,87.0,0.8240675
2023-06-01,21.25,90.25,5.38605
2023-06-01,21.75,90.0,5.5834904
2023-06-01,21.25,89.5,1.3793359
2023-06-01,21.0,88.25,0.3781847
2023-06-01,20.75,87.75,0.28819278
2023-06-01,22.25,91.0,18.475792
2023-06-01,21.25,87.5,0.39624697
2023-06-01,20.75,87.0,1.4337008
2023-06-01,20.5,89.25,0.116961256
2023-06-01,20.75,89.75,0.13288233
2023-06-01,21.0,89.5,0.4463257
2023-06-01,21.75,91.0,14.446775
2023-06-01,20.0,87.75,0.22163486
2023-06-01,21.75,87.75,1.3531265
2023-06-01,20.0,87.0,0.5403813
2023-06-01,20.75,89.5,0.13508067
2023-06-01,20.5,89.0,0.13843349
2023-06-01,20.5,87.5,0.4095253
2023-06-01,21.25,89.0,0.6182004
2023-06-01,22.5,90.75,6.2697196
2023-06-01,20.5,87.25,0.7823169
2023-06-01,20.25,90.25,0.09426171
2023-06-01,21.0,90.0,0.4923941
2023-06-01,20.0,88.0,0.20624363
