time,latitude,longitude,si
2022-03-01,21.75,89.5,3.2649806
2022-03-01,20.25,87.5,1.4702222
2022-03-01,20.0,89.0,1.4684906
2022-03-01,20.75,90.5,2.9544063
2022-03-01,21.25,88.75,2.6956432
2022-03-01,21.75,87.75,3.1721833
2022-03-01,20.75,89.5,1.4707497
2022-03-01,21.25,87.0,2.9187603
2022-03-01,21.25,88.5,3.1995146
2022-03-01,21.75,90.75,9.105931
2022-03-01,21.5,90.5,7.6756377
2022-03-01,20.0,87.75,1.4554529
2022-03-01,20.25,87.25,1.5690247
2022-03-01,21.0,91.0,8.916891
2022-03-01,22.25,91.0,18.523401
2022-03-01,21.5,88.5,3.745962
2022-03-01,21.75,91.0,11.255254
2022-03-01,20.25,90.25,1.4184773
2022-03-01,20.75,88.25,1.5518253
2022-03-01,20.75,87.25,1.9639385
2022-03-01,21.75,90.5,7.0213814
2022-03-01,21.5,88.75,3.0879996
2022-03-01,21.0,89.0,1.9267772
2022-03-01,21.5,87.25,3.132083
2022-03-01,21.0,89.5,1.743679
2022-03-01,20.0,89.75,1.4494303
2022-03-01,22.0,90.75,10.756405
2022-03-01,20.0,88.5,1.4638698
2022-03-01,21.75,90.0,4.2411256
2022-03-01,20.0,90.75,2.0935874
2022-03-01,20.0,90.25,1.4724972
2022-03-01,21.0,90.0,3.0993452
2022-03-01,20.5,90.75,2.4762568
2022-03-01,21.5,89.0,2.6905398
2022-03-01,21.75,88.0,3.3404124
2022-03-01,21.0,87.0,2.8831933
2022-03-01,20.75,88.0,1.4980065
2022-03-01,20.75,87.5,1.5484551
2022-03-01,20.5,91.0,3.2653277
2022-03-01,20.5,88.25,1.4113872
2022-03-01,21.0,87.5,1.7424909
2022-03-01,21.0,89.75,2.0188067
2022-03-01,21.5,87.75,3.1873899
2022-03-01,20.5,88.5,1.4698974
2022-03-01,21.0,90.25,3.8430855
2022-03-01,20.25,90.5,1.5926354
2022-03-01,21.5,87.5,3.1499946
2022-03-01,21.25,87.5,2.5585592
2022-03-01,21.25,90.5,6.031935
2022-03-01,20.25,89.0,1.444274
2022-03-01,21.5,88.25,3.4111075
2022-03-01,20.75,87.0,2.646204
2022-03-01,20.5,88.75,1.4864485
2022-03-01,20.0,90.5,1.7485558
2022-03-01,21.75,89.75,3.7964692
2022-03-01,20.75,91.0,5.157964
2022-03-01,21.0,87.25,1.9836768
2022-03-01,20.5,88.0,1.3867235
2022-03-01,21.25,91.0,14.331109
2022-03-01,20.0,90.0,1.431793
2022-03-01,20.75,87.75,1.4944224
2022-03-01,21.0,89.25,1.843686
2022-03-01,21.25,90.75,8.849241
2022-03-01,21.5,89.25,2.6911004
2022-03-01,21.5,88.0,3.2362075
2022-04-01,20.0,89.0,1.8363305
2022-04-01,21.75,90.75,7.660379
2022-04-01,21.5,90.5,6.812791
2022-04-01,21.0,89.25,1.8379977
2022-04-01,21.25,87.0,2.38711
2022-04-01,20.5,91.0,3.9935446
2022-04-01,21.25,88.75,2.653378
