time,latitude,longitude,fe
2022-03-01,20.5,90.5,0.0012818957
2022-03-01,21.25,89.75,0.0023473823
2022-03-01,21.25,90.25,0.0039332537
2022-03-01,22.25,90.75,0.01011407
2022-03-01,21.75,90.25,0.005617791
2022-03-01,20.25,89.25,0.0010606892
2022-03-01,21.5,90.0,0.0029858972
2022-03-01,20.25,87.75,0.0010675683
2022-03-01,22.5,91.0,0.006639987
2022-03-01,20.0,88.0,0.0010275816
2022-03-01,21.25,88.25,0.0042242794
2022-03-01,21.5,90.75,0.005177904
2022-03-01,22.0,90.5,0.007782323
2022-03-01,20.5,87.0,0.003454898
2022-03-01,20.5,89.25,0.0011660706
2022-03-01,20.25,91.0,0.0011898314
2022-03-01,21.25,88.0,0.004020575
2022-03-01,20.5,89.75,0.0010613449
2022-03-01,20.0,88.75,0.00095939025
2022-03-01,20.25,88.25,0.0009640259
2022-03-01,20.25,88.0,0.000979274
2022-03-01,20.5,89.5,0.0011096227
2022-03-01,20.0,88.25,0.0009745388
2022-03-01,20.75,90.0,0.0012928525
2022-03-01,21.25,87.25,0.0040155584
2022-03-01,21.25,87.75,0.0038201264
2022-03-01,20.75,90.25,0.0015427393
2022-03-01,21.5,91.0,0.0054490347
2022-03-01,22.5,90.75,0.007100657
2022-03-01,21.0,88.25,0.002696586
2022-03-01,22.0,91.0,0.008689801
2022-03-01,20.75,89.75,0.0011928028
2022-03-01,20.25,90.0,0.00091390824
2022-03-01,21.25,89.25,0.0027543027
2022-03-01,21.0,88.5,0.002615085
2022-03-01,21.0,88.0,0.0026121966
2022-03-01,20.75,89.25,0.0012933379
2022-03-01,20.25,88.5,0.0010002053
2022-03-01,21.25,89.0,0.0029826483
2022-03-01,21.5,90.25,0.004003522
2022-03-01,20.25,89.75,0.00093548145
2022-03-01,20.5,90.0,0.0010314625
2022-03-01,20.5,87.75,0.0011432286
2022-03-01,20.5,87.25,0.002049871
2022-03-01,21.75,89.5,0.00548622
2022-03-01,20.25,87.5,0.0012627584
2022-03-01,20.0,89.0,0.0009528874
2022-03-01,20.75,90.5,0.0016883991
2022-03-01,21.25,88.75,0.0035186992
2022-03-01,21.75,87.75,0.008118723
2022-03-01,20.75,89.5,0.0012271644
2022-03-01,21.25,87.0,0.005742154
2022-03-01,21.25,88.5,0.0037483785
2022-03-01,21.75,90.75,0.0063851755
2022-03-01,21.5,90.5,0.004898993
2022-03-01,20.0,87.75,0.0011089494
2022-03-01,20.25,87.25,0.001547079
2022-03-01,21.0,91.0,0.002595833
2022-03-01,22.25,91.0,0.0099368235
2022-03-01,21.5,88.5,0.0056839283
2022-03-01,21.75,91.0,0.006389245
2022-03-01,20.25,90.25,0.00093087944
2022-03-01,20.75,88.25,0.0015611036
2022-03-01,20.75,87.25,0.0031366574
2022-03-01,21.75,90.5,0.0062247594
2022-03-01,21.5,88.75,0.0051307185
2022-03-01,21.0,89.0,0.0020716316
2022-03-01,21.5,87.25,0.0060998984
2022-03-01,21.0,89.5,0.0015120828
2022-03-01,20.0,89.75,0.0008584907
2022-03-01,22.0,90.75,0.008525146
2022-03-01,20.0,88.5,0.0009662173
