time,latitude,longitude,uo
2022-06-01,21.58,89.17,0.023884764
2022-06-01,20.42,90.58,0.10690679
2022-06-01,21.58,89.25,0.032987192
2022-06-01,22.0,90.75,-0.0054990505
2022-06-01,20.83,89.17,0.07845021
2022-06-01,20.42,90.67,0.10159067
2022-06-01,20.08,87.75,0.81242645
2022-06-01,21.58,89.33,0.036622304
2022-06-01,20.83,89.0,0.0817382
2022-06-01,20.83,88.92,0.09469322
2022-06-01,21.58,89.42,0.03212791
2022-06-01,20.42,90.75,0.09142571
2022-06-01,20.08,87.67,0.81580275
2022-06-01,20.83,88.83,0.11397099
2022-06-01,21.58,89.5,0.024295997
2022-06-01,20.83,88.75,0.110059954
2022-06-01,20.83,89.08,0.0773469
2022-06-01,21.58,90.17,0.00063021196
2022-06-01,20.83,87.83,0.08522085
2022-06-01,20.5,87.25,0.10510037
2022-06-01,21.58,90.92,0.019568887
2022-06-01,20.75,90.92,0.032830697
2022-06-01,21.58,91.0,0.018936973
2022-06-01,20.5,87.75,0.07090721
2022-06-01,20.75,90.83,0.023685908
2022-06-01,20.75,90.75,0.014562699
2022-06-01,20.0,90.92,-0.11137457
2022-06-01,21.67,87.5,0.0043683397
2022-06-01,20.5,87.83,0.089225635
2022-06-01,21.67,87.58,0.0064794
2022-06-01,20.75,90.67,0.008433224
2022-06-01,20.0,91.0,-0.10777639
2022-06-01,20.75,90.58,0.0035744703
2022-06-01,20.0,90.83,-0.11058181
2022-06-01,21.67,87.67,0.017473407
2022-06-01,20.75,90.5,-0.00042830498
2022-06-01,21.67,87.75,0.022694414
2022-06-01,20.75,90.42,-0.00018922678
2022-06-01,20.5,88.0,0.10642299
2022-06-01,20.75,90.33,0.004438632
2022-06-01,20.0,90.75,-0.10182576
2022-06-01,21.67,87.83,0.027152192
2022-06-01,20.75,90.25,0.010321405
2022-06-01,20.5,88.08,0.10654705
2022-06-01,20.5,87.92,0.10220377
2022-06-01,20.75,91.0,0.037446324
2022-06-01,20.5,87.67,0.055048246
2022-06-01,20.83,87.0,0.035055563
2022-06-01,20.08,87.25,0.64972836
2022-06-01,21.58,90.25,0.0006384651
2022-06-01,20.83,87.75,0.10058387
2022-06-01,21.58,90.33,0.0008069331
2022-06-01,20.83,87.67,0.11361845
2022-06-01,20.5,87.33,0.0798134
2022-06-01,20.83,87.58,0.12309897
2022-06-01,20.08,87.17,0.580062
2022-06-01,21.58,90.42,0.0038403054
2022-06-01,20.83,87.5,0.11555395
2022-06-01,21.58,90.5,0.007934206
2022-06-01,20.5,87.42,0.058986664
2022-06-01,20.83,87.42,0.09861468
2022-06-01,20.83,87.33,0.08455571
2022-06-01,20.08,87.08,0.48630401
2022-06-01,21.58,90.58,0.010522612
2022-06-01,20.5,87.5,0.04597499
2022-06-01,21.58,90.67,0.012035346
2022-06-01,20.83,87.25,0.07052171
2022-06-01,20.83,87.17,0.056425087
2022-06-01,20.5,87.58,0.046040874
2022-06-01,20.08,87.0,0.37846783
2022-06-01,21.58,90.75,0.014537838
2022-06-01,20.83,87.08,0.043135904
2022-06-01,21.58,90.83,0.01763604
2022-06-01,20.75,90.17,0.022051774
2022-06-01,21.75,87.92,0.021413656
2022-06-01,21.0,88.25,0.05479718
2022-06-01,21.5,87.58,0.048760932
2022-06-01,20.25,90.08,0.059122164
2022-06-01,21.33,88.75,0.09097354
2022-06-01,21.17,89.33,0.025255661
2022-06-01,21.33,88.83,0.07633104
2022-06-01,21.17,89.25,0.008823832
2022-06-01,20.25,90.17,0.07287695
2022-06-01,20.17,90.17,0.037021216
2022-06-01,21.33,88.92,0.051033147
2022-06-01,21.17,89.17,-0.002048388
2022-06-01,20.25,90.25,0.07757045
2022-06-01,21.33,89.0,0.059445776
2022-06-01,20.17,90.25,0.040652648
2022-06-01,21.17,89.08,-0.00094619644
2022-06-01,21.17,89.0,0.019442583
2022-06-01,21.33,89.08,0.06139909
2022-06-01,20.25,90.33,0.073243536
2022-06-01,21.33,89.17,0.0453992
2022-06-01,21.17,88.92,0.034014344
2022-06-01,21.17,88.83,0.056432962
2022-06-01,20.17,90.0,0.02386813
2022-06-01,20.25,90.42,0.064480655
2022-06-01,21.33,89.25,0.050101843
2022-06-01,21.17,88.75,0.08576158
2022-06-01,21.33,89.33,0.035408307
2022-06-01,20.17,90.08,0.029853318
2022-06-01,21.17,88.67,0.09028514
2022-06-01,21.17,89.42,0.047702227
2022-06-01,21.33,88.67,0.09256699
2022-06-01,21.17,90.25,-0.024810396
2022-06-01,20.25,89.67,-0.002386868
2022-06-01,21.33,88.17,0.068131775
2022-06-01,21.17,90.17,0.012750215
2022-06-01,21.17,90.08,0.05926574
2022-06-01,20.17,90.5,0.009203177
2022-06-01,20.25,89.75,-0.0019303637
2022-06-01,22.08,90.75,-0.01643717
2022-06-01,21.33,88.25,0.06983008
2022-06-01,21.17,90.0,0.07746367
2022-06-01,21.33,88.33,0.07637854
2022-06-01,21.17,89.5,0.06210794
2022-06-01,21.17,89.92,0.07519982
2022-06-01,20.17,90.42,0.030053943
2022-06-01,21.33,88.42,0.08149261
2022-06-01,21.17,89.83,0.070882484
2022-06-01,21.17,89.75,0.06422664
2022-06-01,21.33,88.5,0.09069638
2022-06-01,20.25,89.92,0.024902128
2022-06-01,20.17,90.33,0.039592788
2022-06-01,21.17,89.67,0.05807976
2022-06-01,21.33,88.58,0.095535845
2022-06-01,21.17,89.58,0.060809974
2022-06-01,20.25,90.0,0.04281587
2022-06-01,20.25,89.83,0.007458082
2022-06-01,20.25,90.5,0.049804427
2022-06-01,20.17,89.92,0.01836486
2022-06-01,21.17,88.58,0.09003622
2022-06-01,21.33,90.08,-0.06605237
2022-06-01,20.25,91.0,-0.021206707
2022-06-01,21.33,90.17,-0.029162293
2022-06-01,21.17,87.67,0.053834267
2022-06-01,21.17,87.58,0.058232557
2022-06-01,20.17,89.5,0.117692076
2022-06-01,20.33,87.0,0.11119916
2022-06-01,21.33,90.25,-0.0058253333
2022-06-01,21.17,87.5,0.06956931
2022-06-01,21.17,87.42,0.05812848
2022-06-01,21.33,90.33,0.005463241
2022-06-01,21.17,87.75,0.060605254
2022-06-01,20.33,87.08,0.11384907
2022-06-01,21.17,87.33,0.0606435
2022-06-01,21.33,90.42,0.0068716784
2022-06-01,21.17,87.25,0.06726143
2022-06-01,20.33,87.17,0.11634138
2022-06-01,21.33,90.5,0.0033337956
2022-06-01,21.17,87.17,0.07420465
2022-06-01,20.17,89.33,0.16681263
2022-06-01,22.58,91.0,-0.058373943
2022-06-01,21.17,87.08,0.080706134
2022-06-01,20.33,87.25,0.12089839
2022-06-01,21.33,90.58,0.003385808
2022-06-01,20.17,89.42,0.14213909
2022-06-01,20.17,89.58,0.081189126
2022-06-01,21.17,87.83,0.058624003
2022-06-01,20.25,90.92,-0.023073621
2022-06-01,21.33,89.42,0.007328396
2022-06-01,21.17,88.5,0.08751617
2022-06-01,22.58,90.83,0.0018354298
2022-06-01,20.25,90.58,0.027068175
2022-06-01,21.33,89.5,-0.0015829018
2022-06-01,21.17,88.42,0.084450565
2022-06-01,20.17,89.83,0.013978432
2022-06-01,22.17,90.58,-0.015325654
2022-06-01,21.33,89.58,-0.00090644497
2022-06-01,21.17,88.33,0.078858584
2022-06-01,20.25,90.67,0.0019045039
2022-06-01,21.33,89.67,-0.024856782
2022-06-01,21.17,88.25,0.07745027
2022-06-01,20.17,89.75,0.019821716
2022-06-01,21.17,88.17,0.07511348
2022-06-01,21.33,89.75,-0.063520394
2022-06-01,20.25,90.75,-0.01609403
2022-06-01,21.33,89.83,-0.09523106
2022-06-01,21.17,88.08,0.06529287
2022-06-01,21.17,88.0,0.06423936
2022-06-01,20.17,89.67,0.04103692
2022-06-01,20.25,90.83,-0.023221444
2022-06-01,21.33,89.92,-0.094591565
2022-06-01,21.17,87.92,0.06466402
2022-06-01,21.33,90.0,-0.082683645
2022-06-01,21.33,88.08,0.06659282
2022-06-01,21.17,87.0,0.070675425
2022-06-01,20.17,90.58,-0.017556863
2022-06-01,20.25,89.58,0.008560216
2022-06-01,20.25,87.5,0.2992934
2022-06-01,21.25,88.83,0.080022015
2022-06-01,21.25,88.75,0.09369256
2022-06-01,20.25,88.33,0.30932075
2022-06-01,21.25,90.33,-0.019365646
2022-06-01,21.25,88.67,0.091568604
2022-06-01,20.25,87.42,0.2931167
2022-06-01,21.25,88.58,0.09241733
2022-06-01,21.25,90.42,-0.022462716
2022-06-01,20.25,88.42,0.28347403
2022-06-01,21.25,90.5,-0.019445756
2022-06-01,21.25,90.25,-0.044239115
2022-06-01,21.25,88.5,0.088148944
2022-06-01,20.25,88.5,0.25886694
2022-06-01,20.25,87.33,0.2520748
2022-06-01,21.25,90.58,-0.020144664
2022-06-01,21.25,88.33,0.08056179
2022-06-01,21.25,90.67,-0.022558033
2022-06-01,21.25,88.25,0.074724466
2022-06-01,20.25,88.58,0.23312818
2022-06-01,20.25,87.25,0.20510553
2022-06-01,21.25,88.17,0.07353087
2022-06-01,21.25,90.75,-0.02721545
2022-06-01,21.25,88.08,0.062371098
2022-06-01,21.25,88.42,0.086254716
2022-06-01,20.25,88.67,0.20938288
2022-06-01,20.25,88.25,0.33165276
2022-06-01,21.25,90.17,-0.0637352
2022-06-01,20.25,87.83,0.3307155
2022-06-01,22.08,90.83,-0.007329149
2022-06-01,21.25,89.67,0.0071532847
2022-06-01,21.25,89.58,0.011233719
2022-06-01,21.25,89.5,0.0077514956
2022-06-01,21.25,89.75,0.0025118105
2022-06-01,22.58,90.92,-0.037771605
2022-06-01,20.25,87.92,0.3485165
2022-06-01,20.25,87.75,0.30748945
2022-06-01,21.25,89.42,-0.006529044
2022-06-01,21.25,89.83,-0.0112029705
2022-06-01,21.25,88.92,0.06666447
2022-06-01,21.25,89.33,-0.013843578
2022-06-01,21.25,89.92,-0.028816665
2022-06-01,20.25,87.67,0.28993928
2022-06-01,21.25,89.25,0.0017789733
2022-06-01,21.25,90.0,-0.044464123
2022-06-01,20.25,88.08,0.34943444
2022-06-01,21.25,89.17,0.022892164
2022-06-01,21.25,90.08,-0.053620838
2022-06-01,21.25,89.08,0.04712553
2022-06-01,20.25,87.58,0.28921047
2022-06-01,20.25,88.17,0.34286264
2022-06-01,21.25,89.0,0.06563602
2022-06-01,20.25,88.0,0.35430586
2022-06-01,21.25,90.83,-0.029354999
2022-06-01,21.25,88.0,0.063858144
2022-06-01,20.25,87.17,0.18013017
2022-06-01,21.25,87.0,0.037084915
2022-06-01,21.33,87.5,0.04018844
2022-06-01,22.08,91.0,0.049029462
2022-06-01,21.17,91.0,-0.036766842
2022-06-01,20.25,89.25,0.09200762
2022-06-01,21.33,87.58,0.04196493
2022-06-01,20.17,90.83,-0.06965864
2022-06-01,21.17,90.92,-0.04504604
2022-06-01,21.33,87.67,0.042452767
2022-06-01,21.17,90.83,-0.050688837
2022-06-01,20.25,89.33,0.072709836
2022-06-01,20.17,90.92,-0.07423273
2022-06-01,21.33,87.75,0.04773403
2022-06-01,20.17,90.75,-0.060155082
2022-06-01,21.17,90.67,-0.028804593
2022-06-01,20.25,89.42,0.044811126
2022-06-01,21.33,87.83,0.05995092
2022-06-01,21.17,90.58,-0.022742549
2022-06-01,20.25,89.5,0.023000346
2022-06-01,20.17,90.67,-0.042634204
2022-06-01,21.33,87.92,0.064308584
2022-06-01,21.17,90.5,-0.01951452
2022-06-01,21.17,90.42,-0.022127314
2022-06-01,21.33,88.0,0.06267126
2022-06-01,21.17,90.75,-0.039328106
2022-06-01,20.25,89.17,0.10855881
2022-06-01,21.25,87.08,0.06577063
2022-06-01,21.33,87.42,0.044623766
2022-06-01,21.25,87.92,0.064864196
2022-06-01,20.25,88.75,0.19218694
2022-06-01,21.25,90.92,-0.018826267
2022-06-01,21.25,87.83,0.058341045
