time,latitude,longitude,ph
2022-06-01,21.5,87.25,8.020624
2022-06-01,20.75,90.25,8.063805
2022-06-01,21.25,88.0,8.020871
2022-06-01,22.25,90.75,8.221776
2022-06-01,20.25,88.0,8.028204
2022-06-01,21.25,91.0,8.163919
2022-06-01,21.0,90.0,8.047038
2022-06-01,20.0,88.25,8.030659
2022-06-01,21.5,87.5,8.025929
2022-06-01,21.0,87.0,8.023324
2022-06-01,20.75,87.5,8.022816
2022-06-01,20.75,91.0,8.070332
2022-06-01,21.5,87.75,8.025052
2022-06-01,22.0,91.0,8.320072
2022-06-01,21.0,90.25,8.070314
2022-06-01,20.75,88.0,8.018199
2022-06-01,21.25,90.75,8.151645
2022-06-01,20.75,88.25,8.020876
2022-06-01,22.0,90.5,8.294161
2022-06-01,21.0,89.75,8.04519
2022-06-01,21.75,90.25,8.1700325
2022-06-01,20.0,90.75,8.041188
2022-06-01,21.25,87.75,8.017817
2022-06-01,20.25,88.25,8.0291
2022-06-01,20.25,90.5,8.04946
2022-07-01,20.5,89.25,8.076124
2022-07-01,20.75,90.0,8.064031
2022-07-01,22.0,91.0,8.314241
2022-07-01,20.5,89.0,8.067536
2022-07-01,20.25,91.0,8.045046
2022-07-01,20.75,89.5,8.089301
2022-07-01,20.25,90.0,8.0544
2022-07-01,20.75,89.75,8.070225
2022-07-01,20.5,89.5,8.075527
2022-07-01,20.5,87.0,8.082355
2022-07-01,20.5,89.75,8.068074
2022-07-01,20.75,90.25,8.057283
2022-07-01,22.5,91.0,7.979553
2022-07-01,20.5,90.5,8.050734
2022-07-01,21.75,90.5,8.262004
2022-07-01,20.75,91.0,8.0555525
2022-07-01,20.5,91.0,8.050672
2022-07-01,20.5,88.5,8.055115
2022-07-01,20.75,88.0,8.081515
2022-07-01,21.0,87.25,8.098946
2022-07-01,21.75,90.25,8.284339
2022-07-01,22.25,90.75,8.142287
2022-07-01,20.5,90.75,8.04862
2022-07-01,21.0,87.0,8.106636
2022-07-01,20.75,87.0,8.098414
2022-07-01,20.75,87.75,8.072225
2022-07-01,20.25,90.5,8.047293
2022-07-01,20.75,87.5,8.076729
2022-07-01,21.75,90.0,8.297237
2022-07-01,20.75,87.25,8.095173
2022-07-01,22.5,90.75,7.771297
2022-07-01,20.5,88.0,8.06383
2022-07-01,20.5,87.25,8.078566
2022-07-01,20.75,88.25,8.08703
2022-07-01,20.25,90.25,8.050033
2022-07-01,20.5,90.0,8.060995
2022-07-01,21.0,87.75,8.109152
2022-07-01,20.75,90.5,8.060537
2022-07-01,20.75,89.25,8.095135
2022-07-01,20.75,89.0,8.0889
2022-07-01,20.5,90.25,8.051808
2022-07-01,20.75,90.75,8.05788
2022-07-01,20.5,87.75,8.059944
2022-07-01,21.0,87.5,8.098691
2022-07-01,20.5,88.25,8.061839
2022-07-01,20.5,88.75,8.054201
2022-07-01,20.75,88.75,8.088859
2022-07-01,20.25,90.75,8.04547
2022-07-01,20.75,88.5,8.088441
2022-07-01,20.0,87.0,8.074658
2022-07-01,20.0,88.0,8.055269
2022-07-01,20.5,87.5,8.062396
2022-07-01,21.0,88.0,8.136205
2022-07-01,21.5,91.0,8.164817
2022-07-01,20.0,87.75,8.059499
2022-07-01,21.25,90.25,8.040105
2022-07-01,21.0,90.25,8.072245
2022-07-01,20.0,91.0,8.043907
2022-07-01,21.25,90.5,8.136195
2022-07-01,20.0,87.5,8.065724
2022-07-01,21.25,90.75,8.132522
2022-07-01,20.0,90.75,8.045868
2022-07-01,21.0,90.0,8.078732
2022-07-01,21.25,91.0,8.131706
2022-07-01,20.25,89.0,8.047981
2022-07-01,21.5,87.25,8.141727
2022-07-01,21.0,89.75,8.102262
2022-07-01,21.5,87.5,8.164416
2022-07-01,21.75,91.0,8.231942
2022-07-01,21.5,87.75,8.1835985
2022-07-01,21.0,89.5,8.123813
2022-07-01,22.0,90.75,8.3176365
2022-07-01,20.25,89.25,8.054567
2022-07-01,20.0,90.25,8.051126
2022-07-01,21.75,87.75,8.178212
2022-07-01,21.5,88.0,8.212243
2022-07-01,21.5,88.25,8.22973
2022-07-01,20.0,90.0,8.051266
2022-07-01,21.25,90.0,8.042495
2022-07-01,21.75,88.0,8.178731
2022-07-01,20.25,87.0,8.071814
2022-07-01,21.25,89.75,8.133031
2022-07-01,21.25,87.25,8.119025
2022-07-01,22.0,90.5,8.325007
2022-07-01,20.25,88.25,8.055838
2022-07-01,21.25,87.5,8.122343
2022-07-01,20.25,88.0,8.0585985
2022-07-01,21.25,87.75,8.144706
2022-07-01,20.0,88.25,8.051758
2022-07-01,21.25,88.0,8.172306
2022-07-01,21.25,87.0,8.122543
2022-07-01,20.25,87.75,8.057936
2022-07-01,21.0,91.0,8.073102
2022-07-01,21.0,89.25,8.136648
2022-07-01,21.25,88.25,8.198641
2022-07-01,20.25,88.5,8.050083
2022-07-01,20.25,87.5,8.063789
2022-07-01,21.25,88.75,8.233898
2022-07-01,21.0,90.75,8.07879
2022-07-01,21.25,89.0,8.219383
2022-07-01,21.75,89.5,8.28858
2022-07-01,20.25,87.25,8.0757065
2022-07-01,21.25,89.25,8.204711
2022-07-01,21.25,89.5,8.170301
