time,latitude,longitude,vo
2022-06-01,21.67,87.67,0.018409155
2022-06-01,20.75,90.5,0.016851144
2022-06-01,21.67,87.75,0.021003956
2022-06-01,20.75,90.42,0.01798829
2022-06-01,20.5,88.0,-0.07230414
2022-06-01,20.75,90.33,0.011086595
2022-06-01,20.0,90.75,-0.020784963
2022-06-01,21.67,87.83,0.03055698
2022-06-01,20.75,90.25,0.010272097
2022-06-01,20.5,88.08,-0.022339104
2022-06-01,20.5,87.92,-0.064694196
2022-06-01,20.75,91.0,-0.015555703
2022-06-01,20.5,87.67,0.054923363
2022-06-01,20.83,87.0,0.057008002
2022-06-01,20.08,87.25,0.21786413
2022-06-01,21.58,90.25,0.0075561483
2022-06-01,20.83,87.75,-0.010176829
2022-06-01,21.58,90.33,0.00126325
2022-06-01,20.83,87.67,0.017823093
2022-06-01,20.5,87.33,0.1200703
2022-06-01,20.83,87.58,0.033902846
2022-06-01,20.08,87.17,0.21833274
2022-06-01,21.58,90.42,-0.0016458519
2022-06-01,20.83,87.5,0.046577405
2022-06-01,21.58,90.5,-0.0017449205
2022-06-01,20.5,87.42,0.08393808
2022-06-01,20.83,87.42,0.05310477
2022-06-01,20.83,87.33,0.06760679
2022-06-01,20.08,87.08,0.20302437
2022-06-01,21.58,90.58,-0.0010488419
2022-06-01,20.5,87.5,0.088074535
2022-06-01,21.58,90.67,-0.0036925934
2022-06-01,20.83,87.25,0.1396227
2022-06-01,20.83,87.17,0.09419824
2022-06-01,20.5,87.58,0.08497865
2022-06-01,20.08,87.0,0.16099225
2022-06-01,21.58,90.75,-0.005646685
2022-06-01,20.83,87.08,0.08997624
2022-06-01,21.58,90.83,-0.0049667237
2022-06-01,20.75,90.17,-0.00203617
2022-06-01,21.75,87.92,0.03302253
2022-06-01,21.0,88.25,0.008328828
2022-06-01,21.5,87.58,0.026509585
2022-06-01,20.25,90.08,-0.008535252
2022-06-01,21.33,88.75,0.044440165
2022-06-01,21.17,89.33,-0.004462384
2022-06-01,21.33,88.83,-0.008587978
2022-06-01,21.17,89.25,0.014422249
2022-06-01,20.25,90.17,0.0075451937
2022-06-01,20.17,90.17,0.019589674
2022-06-01,21.33,88.92,-0.04097654
2022-06-01,21.17,89.17,0.024854494
2022-06-01,20.25,90.25,0.02120928
2022-06-01,21.33,89.0,-0.04427575
2022-06-01,20.17,90.25,0.022719506
2022-06-01,21.17,89.08,0.0055042813
2022-06-01,21.17,89.0,0.00015245915
2022-06-01,21.33,89.08,0.04373447
2022-06-01,20.25,90.33,0.03379984
2022-06-01,21.33,89.17,0.04269669
2022-06-01,21.17,88.92,-0.012606209
2022-06-01,21.17,88.83,0.018386846
2022-06-01,20.17,90.0,7.983968e-05
2022-06-01,20.25,90.42,0.03265921
2022-06-01,21.33,89.25,0.050062355
2022-06-01,21.17,88.75,0.046269342
2022-06-01,21.33,89.33,0.01271662
2022-06-01,20.17,90.08,0.010891283
2022-06-01,21.17,88.67,0.04139761
2022-06-01,21.17,89.42,0.0050415266
2022-06-01,21.33,88.67,0.04006591
2022-06-01,21.17,90.25,0.048485443
2022-06-01,20.25,89.67,0.00056996284
2022-06-01,21.33,88.17,0.001793649
2022-06-01,21.17,90.17,0.06356224
2022-06-01,21.17,90.08,0.0519719
2022-06-01,20.17,90.5,-0.005083697
2022-06-01,20.25,89.75,-0.016471978
2022-06-01,22.08,90.75,-0.023851812
2022-06-01,21.33,88.25,0.004679715
2022-06-01,21.17,90.0,0.03426345
2022-06-01,21.33,88.33,0.006141952
2022-06-01,21.17,89.5,0.021716315
2022-06-01,21.17,89.92,0.04586718
2022-06-01,20.17,90.42,0.007391077
2022-06-01,21.33,88.42,0.011809116
2022-06-01,21.17,89.83,0.037543986
2022-06-01,21.17,89.75,0.014467555
2022-06-01,21.33,88.5,0.013851295
2022-06-01,20.25,89.92,-0.035260085
2022-06-01,20.17,90.33,0.021453287
2022-06-01,21.17,89.67,-0.016445337
2022-06-01,21.33,88.58,0.03585194
2022-06-01,21.17,89.58,0.0032945212
2022-06-01,20.25,90.0,-0.021455543
2022-06-01,20.25,89.83,-0.03050545
2022-06-01,20.25,90.5,0.022422396
2022-06-01,20.17,89.92,-0.01510213
2022-06-01,21.17,88.58,0.031085981
2022-06-01,21.33,90.08,0.026845155
2022-06-01,20.25,91.0,-0.01688317
2022-06-01,21.33,90.17,-0.00015063149
2022-06-01,21.17,87.67,0.015662372
2022-06-01,21.17,87.58,0.008019472
2022-06-01,20.17,89.5,-0.04292824
2022-06-01,20.33,87.0,0.102562435
2022-06-01,21.33,90.25,0.01598409
2022-06-01,21.17,87.5,0.01986793
2022-06-01,21.17,87.42,0.0071189525
2022-06-01,21.33,90.33,7.765802e-05
2022-06-01,21.17,87.75,0.023763113
2022-06-01,20.33,87.08,0.103601605
2022-06-01,21.17,87.33,0.023766212
2022-06-01,21.33,90.42,0.0022884458
2022-06-01,21.17,87.25,0.029709615
2022-06-01,20.33,87.17,0.06215455
2022-06-01,21.33,90.5,-0.005717856
2022-06-01,21.17,87.17,0.03707998
2022-06-01,20.17,89.33,-0.056324508
2022-06-01,22.58,91.0,0.029004889
2022-06-01,21.17,87.08,0.06801493
2022-06-01,20.33,87.25,0.055729624
2022-06-01,21.33,90.58,-0.009240179
2022-06-01,20.17,89.42,-0.04542833
2022-06-01,20.17,89.58,-0.012128145
2022-06-01,21.17,87.83,0.054190714
2022-06-01,20.25,90.92,-0.013082979
2022-06-01,21.33,89.42,-0.012212049
2022-06-01,21.17,88.5,0.03915155
2022-06-01,22.58,90.83,0.05037456
2022-06-01,20.25,90.58,0.012913929
2022-06-01,21.33,89.5,-0.0140160145
2022-06-01,21.17,88.42,0.0028052544
2022-06-01,20.17,89.83,-0.012143819
2022-06-01,22.17,90.58,-0.0071752816
2022-06-01,21.33,89.58,0.011615019
2022-06-01,21.17,88.33,0.0400304
2022-06-01,20.25,90.67,0.0045931987
2022-06-01,21.33,89.67,0.021225063
2022-06-01,21.17,88.25,-0.004144394
2022-06-01,20.17,89.75,-0.009897771
2022-06-01,21.17,88.17,0.027064063
2022-06-01,21.33,89.75,0.021572791
2022-06-01,20.25,90.75,-0.002259378
2022-06-01,21.33,89.83,0.024170756
2022-06-01,21.17,88.08,0.027926806
2022-06-01,21.17,88.0,-0.00082350883
2022-06-01,20.17,89.67,-0.009678156
2022-06-01,20.25,90.83,-0.0075244815
2022-06-01,21.33,89.92,0.036650572
2022-06-01,21.17,87.92,0.029638164
2022-06-01,21.33,90.0,0.031451438
2022-06-01,21.33,88.08,0.013025788
2022-06-01,21.17,87.0,0.07047837
2022-06-01,20.17,90.58,-0.011115387
2022-06-01,20.25,89.58,0.028173415
2022-06-01,20.25,87.5,0.026963212
2022-06-01,21.25,88.83,0.0060584685
2022-06-01,21.25,88.75,0.04565303
2022-06-01,20.25,88.33,0.008052466
2022-06-01,21.25,90.33,0.010221391
2022-06-01,21.25,88.67,0.040439833
2022-06-01,20.25,87.42,0.058175165
2022-06-01,21.25,88.58,0.03047906
2022-06-01,21.25,90.42,0.000876327
2022-06-01,20.25,88.42,0.0072203106
2022-06-01,21.25,90.5,-0.0061052525
2022-06-01,21.25,90.25,0.03786178
2022-06-01,21.25,88.5,0.028160205
2022-06-01,20.25,88.5,-0.003019912
2022-06-01,20.25,87.33,0.07647582
2022-06-01,21.25,90.58,-0.007969597
2022-06-01,21.25,88.33,0.02068563
2022-06-01,21.25,90.67,-0.006719027
2022-06-01,21.25,88.25,0.007824353
2022-06-01,20.25,88.58,-0.012671318
2022-06-01,20.25,87.25,0.06915738
2022-06-01,21.25,88.17,0.008605844
2022-06-01,21.25,90.75,-0.005819227
2022-06-01,21.25,88.08,0.022662453
2022-06-01,21.25,88.42,0.010555171
2022-06-01,20.25,88.67,-0.027933784
2022-06-01,20.25,88.25,0.007046694
2022-06-01,21.25,90.17,0.053766686
2022-06-01,20.25,87.83,0.04734204
2022-06-01,22.08,90.83,-0.03808767
2022-06-01,21.25,89.67,-0.014352703
2022-06-01,21.25,89.58,0.0077802455
2022-06-01,21.25,89.5,0.00077886035
2022-06-01,21.25,89.75,-0.0069334726
2022-06-01,22.58,90.92,0.024851888
2022-06-01,20.25,87.92,0.042850077
2022-06-01,20.25,87.75,0.041723058
2022-06-01,21.25,89.42,-0.013367517
2022-06-01,21.25,89.83,0.0147803975
2022-06-01,21.25,88.92,-0.032042194
2022-06-01,21.25,89.33,-0.0037852763
2022-06-01,21.25,89.92,0.028594272
2022-06-01,20.25,87.67,0.028876867
2022-06-01,21.25,89.25,0.033203136
2022-06-01,21.25,90.0,0.02433353
2022-06-01,20.25,88.08,0.013475699
2022-06-01,21.25,89.17,0.028036641
2022-06-01,21.25,90.08,0.03200651
2022-06-01,21.25,89.08,0.032033734
2022-06-01,20.25,87.58,0.021032287
2022-06-01,20.25,88.17,0.009176907
2022-06-01,21.25,89.0,0.0017105236
2022-06-01,20.25,88.0,0.03075103
2022-06-01,21.25,90.83,-0.0040514483
2022-06-01,21.25,88.0,0.0063120527
2022-06-01,20.25,87.17,0.06804287
2022-06-01,21.25,87.0,0.04523839
2022-06-01,21.33,87.5,0.0020507982
2022-06-01,22.08,91.0,-0.031422768
2022-06-01,21.17,91.0,-0.009959698
2022-06-01,20.25,89.25,-0.043745868
2022-06-01,21.33,87.58,0.014978086
2022-06-01,20.17,90.83,-0.013922433
2022-06-01,21.17,90.92,-0.013027962
2022-06-01,21.33,87.67,0.021670232
2022-06-01,21.17,90.83,-0.00062266336
2022-06-01,20.25,89.33,-0.034964126
2022-06-01,20.17,90.92,-0.014869093
2022-06-01,21.33,87.75,0.030910674
2022-06-01,20.17,90.75,-0.012178497
2022-06-01,21.17,90.67,-0.011016057
2022-06-01,20.25,89.42,-0.012747649
2022-06-01,21.33,87.83,0.029209686
2022-06-01,21.17,90.58,-0.009689734
2022-06-01,20.25,89.5,-0.0155231645
2022-06-01,20.17,90.67,-0.010465104
2022-06-01,21.33,87.92,0.014109317
2022-06-01,21.17,90.5,-0.0033825433
2022-06-01,21.17,90.42,-0.0043086237
2022-06-01,21.33,88.0,0.013384425
