time,latitude,longitude,spco2
2022-02-01,22.5,90.75,12.899034
2022-02-01,21.5,89.75,29.870317
2022-02-01,21.5,90.5,28.029804
2022-02-01,21.5,89.0,28.432995
2022-02-01,21.75,87.75,23.989069
2022-02-01,21.0,88.5,27.433834
2022-02-01,21.5,88.75,24.81304
2022-02-01,20.0,87.0,31.356312
2022-02-01,20.25,90.0,32.283794
2022-02-01,21.0,88.75,27.705393
2022-02-01,21.0,89.25,29.377893
2022-02-01,20.5,91.0,31.443813
2022-02-01,20.5,90.25,31.541325
2022-02-01,20.5,90.0,31.735264
2022-02-01,21.75,90.5,27.089813
2022-02-01,20.0,89.25,33.09955
2022-02-01,20.5,90.75,31.658606
2022-02-01,21.5,90.25,28.975481
2022-02-01,20.5,89.0,31.702623
2022-02-01,20.25,89.75,32.420998
2022-02-01,21.0,88.0,28.147552
2022-02-01,22.25,91.0,16.447453
2022-02-01,20.0,88.5,33.124332
2022-02-01,20.0,89.0,33.20826
2022-02-01,21.75,90.75,26.272203
2022-02-01,21.5,90.0,29.42858
2022-02-01,21.75,91.0,25.089334
2022-02-01,20.0,88.75,33.20657
2022-02-01,20.5,90.5,31.601946
2022-02-01,21.5,89.25,30.736826
2022-02-01,20.0,89.5,32.96783
2022-02-01,20.5,89.5,31.932974
2022-02-01,21.5,91.0,25.867682
2022-02-01,20.0,87.75,32.56473
2022-02-01,20.5,88.5,31.478455
2022-02-01,20.0,90.0,32.495388
2022-02-01,21.5,88.5,21.888872
2022-02-01,20.75,87.0,28.810162
2022-02-01,21.0,88.25,27.533548
2022-02-01,20.5,89.25,31.827244
2022-02-01,20.0,87.25,31.743088
2022-02-01,20.25,90.25,31.93417
2022-02-01,21.75,90.0,27.336948
2022-02-01,21.5,90.75,26.866531
2022-02-01,21.5,89.5,30.011515
2022-02-01,20.5,88.75,31.58701
2022-03-01,20.75,90.75,33.719734
2022-03-01,21.25,89.5,32.536747
2022-03-01,20.0,87.25,35.06746
2022-03-01,20.0,87.0,34.869846
2022-03-01,20.75,89.0,33.58042
2022-03-01,20.5,89.0,33.798653
2022-03-01,20.0,91.0,34.66809
2022-03-01,20.0,89.5,34.40247
2022-03-01,20.25,89.5,34.465218
2022-03-01,20.0,89.25,34.606426
2022-03-01,20.25,88.75,34.41195
2022-03-01,21.0,88.75,32.173454
2022-03-01,20.5,87.5,33.972534
2022-03-01,21.25,90.0,34.871975
2022-03-01,20.0,87.5,35.180305
2022-03-01,21.0,90.5,33.698723
2022-03-01,21.0,87.75,33.813152
2022-03-01,21.5,89.5,33.167545
2022-03-01,20.5,90.25,34.28861
2022-03-01,20.25,87.0,34.33292
2022-03-01,20.25,90.75,34.063686
2022-03-01,20.75,88.5,33.10902
2022-03-01,20.75,88.75,33.176052
2022-03-01,21.5,89.75,33.595707
2022-03-01,21.0,90.75,33.61208
2022-03-01,20.5,90.5,33.907997
2022-03-01,21.25,89.75,32.880272
2022-03-01,21.25,90.25,35.303993
2022-03-01,22.25,90.75,22.798521
2022-03-01,21.75,90.25,35.00518
2022-03-01,20.25,89.25,34.364212
2022-03-01,21.5,90.0,33.726788
2022-03-01,20.25,87.75,34.75257
2022-03-01,22.5,91.0,16.18036
2022-03-01,20.0,88.0,35.221073
2022-03-01,21.25,88.25,32.74587
2022-03-01,21.5,90.75,33.72601
2022-03-01,22.0,90.5,31.097372
2022-03-01,20.5,87.0,34.402287
2022-03-01,20.5,89.25,33.955494
2022-03-01,20.25,91.0,34.184986
2022-03-01,21.25,88.0,33.30542
2022-03-01,20.5,89.75,34.35726
2022-03-01,20.0,88.75,34.99318
2022-03-01,20.25,88.25,34.829372
2022-03-01,20.25,88.0,34.890465
2022-03-01,20.5,89.5,34.19749
2022-03-01,20.0,88.25,35.20536
2022-03-01,20.75,90.0,33.808304
2022-03-01,21.25,87.25,34.015064
2022-03-01,21.25,87.75,33.690643
2022-03-01,20.75,90.25,33.588585
2022-03-01,21.5,91.0,32.52281
2022-03-01,22.5,90.75,16.010105
2022-03-01,21.0,88.25,32.824608
