time,latitude,longitude,no3
2022-01-01,20.5,88.5,0.43556654
2022-01-01,21.75,90.75,22.43209
2022-01-01,21.5,90.75,23.790966
2022-01-01,21.25,87.25,2.7356117
2022-01-01,20.25,88.0,0.51566344
2022-01-01,21.5,88.0,3.292811
2022-01-01,21.25,88.25,3.0912452
2022-01-01,20.25,90.0,0.7188484
2022-01-01,20.5,89.25,0.41855818
2022-01-01,21.0,88.25,2.9235303
2022-01-01,20.0,90.0,0.9413864
2022-01-01,20.5,87.0,3.1607332
2022-01-01,21.0,89.5,0.46846682
2022-01-01,20.25,89.25,0.43974182
2022-01-01,21.25,88.0,2.8485997
2022-01-01,20.0,88.75,0.46680093
2022-01-01,20.75,87.25,2.5909426
2022-01-01,20.0,88.0,0.4157863
2022-01-01,21.25,87.0,3.2192967
2022-01-01,21.75,90.5,16.515833
2022-01-01,20.5,89.5,0.48073822
2022-01-01,21.25,89.25,1.5131065
2022-01-01,21.75,89.5,4.728486
2022-01-01,20.75,89.25,0.39328223
2022-01-01,20.25,89.75,0.67849815
2022-01-01,22.25,91.0,36.188114
2022-01-01,20.5,88.25,0.5203081
2022-01-01,21.5,87.75,3.46794
2022-01-01,21.5,90.25,13.676937
2022-01-01,20.25,88.5,0.4065365
2022-01-01,21.25,87.5,2.7563307
2022-01-01,21.25,89.0,1.6764681
2022-01-01,20.75,87.0,3.6643434
2022-01-01,20.75,90.25,0.57637465
2022-01-01,20.25,87.5,0.9263655
2022-01-01,21.0,88.5,2.5502794
2022-01-01,20.5,90.0,0.5555394
2022-01-01,21.0,89.75,0.5957215
2022-01-01,20.0,88.25,0.437017
2022-01-01,21.5,88.5,3.588849
2022-01-01,20.75,90.5,0.91621673
2022-01-01,21.0,87.25,2.777341
2022-01-01,21.25,88.75,2.8433516
2022-01-01,21.75,89.75,5.320157
2022-01-01,21.0,87.5,2.796167
2022-01-01,20.0,89.0,0.45534742
2022-01-01,21.25,87.75,2.8767729
2022-01-01,20.75,89.5,0.4282563
